timestamp,datetime_berlin,price (MWh),demand (MW)
1757761200000,2025-09-13 13:00:00,,
1757764800000,2025-09-13 14:00:00,,
1757768400000,2025-09-13 15:00:00,,
1757772000000,2025-09-13 16:00:00,,
1757775600000,2025-09-13 17:00:00,,
1757779200000,2025-09-13 18:00:00,,
1757782800000,2025-09-13 19:00:00,,
1757786400000,2025-09-13 20:00:00,,
1757790000000,2025-09-13 21:00:00,,
1757793600000,2025-09-13 22:00:00,,
1757797200000,2025-09-13 23:00:00,,
1757800800000,2025-09-14 00:00:00,,
1757804400000,2025-09-14 01:00:00,,
1757808000000,2025-09-14 02:00:00,,
1757811600000,2025-09-14 03:00:00,,
1757815200000,2025-09-14 04:00:00,,
1757818800000,2025-09-14 05:00:00,,
1757822400000,2025-09-14 06:00:00,,
1757826000000,2025-09-14 07:00:00,,
1757829600000,2025-09-14 08:00:00,,
1757833200000,2025-09-14 09:00:00,,
1757836800000,2025-09-14 10:00:00,,
1757840400000,2025-09-14 11:00:00,,
1757844000000,2025-09-14 12:00:00,,
1757847600000,2025-09-14 13:00:00,,
1757851200000,2025-09-14 14:00:00,,
1757854800000,2025-09-14 15:00:00,,
1757858400000,2025-09-14 16:00:00,,
1757862000000,2025-09-14 17:00:00,,
1757865600000,2025-09-14 18:00:00,,
1757869200000,2025-09-14 19:00:00,,
1757872800000,2025-09-14 20:00:00,,
1757876400000,2025-09-14 21:00:00,,
1757880000000,2025-09-14 22:00:00,,
1757883600000,2025-09-14 23:00:00,,
