timestamp,datetime_berlin,price,demand
1757034000000,2025-09-05 03:00:00,85.20,43739.75
1757037600000,2025-09-05 04:00:00,85.60,44351.50
1757041200000,2025-09-05 05:00:00,97.36,46997.00
1757044800000,2025-09-05 06:00:00,119.16,52729.75
1757048400000,2025-09-05 07:00:00,132.13,56991.00
1757052000000,2025-09-05 08:00:00,125.75,60597.00
1757055600000,2025-09-05 09:00:00,100.40,62082.25
1757059200000,2025-09-05 10:00:00,87.83,63185.00
1757062800000,2025-09-05 11:00:00,84.15,62774.00
1757066400000,2025-09-05 12:00:00,78.25,61493.75
1757070000000,2025-09-05 13:00:00,72.19,58520.50
1757073600000,2025-09-05 14:00:00,70.17,56549.75
1757077200000,2025-09-05 15:00:00,77.53,55135.00
1757080800000,2025-09-05 16:00:00,85.00,54728.25
1757084400000,2025-09-05 17:00:00,90.96,55241.25
1757088000000,2025-09-05 18:00:00,108.95,54948.25
1757091600000,2025-09-05 19:00:00,154.53,54054.75
1757095200000,2025-09-05 20:00:00,150.75,53567.25
1757098800000,2025-09-05 21:00:00,117.10,50346.25
1757102400000,2025-09-05 22:00:00,107.71,47231.50
1757106000000,2025-09-05 23:00:00,100.70,44051.50
1757109600000,2025-09-06 00:00:00,101.21,41865.75
1757113200000,2025-09-06 01:00:00,100.59,40356.25
1757116800000,2025-09-06 02:00:00,99.57,39165.00
1757120400000,2025-09-06 03:00:00,97.84,38456.00
1757124000000,2025-09-06 04:00:00,96.96,38398.50
1757127600000,2025-09-06 05:00:00,98.01,39002.25
1757131200000,2025-09-06 06:00:00,102.60,40947.50
1757134800000,2025-09-06 07:00:00,100.91,43208.75
1757138400000,2025-09-06 08:00:00,95.98,46823.00
1757142000000,2025-09-06 09:00:00,79.11,49474.25
1757145600000,2025-09-06 10:00:00,11.35,50184.25
1757149200000,2025-09-06 11:00:00,0.00,49407.50
1757152800000,2025-09-06 12:00:00,-0.02,47908.25
1757156400000,2025-09-06 13:00:00,-0.86,46198.25
1757160000000,2025-09-06 14:00:00,-0.99,45157.00
1757163600000,2025-09-06 15:00:00,-0.01,44234.50
1757167200000,2025-09-06 16:00:00,40.99,44487.25
1757170800000,2025-09-06 17:00:00,87.60,46034.50
1757174400000,2025-09-06 18:00:00,116.47,47186.50
1757178000000,2025-09-06 19:00:00,158.39,47068.75
1757181600000,2025-09-06 20:00:00,139.54,46714.50
1757185200000,2025-09-06 21:00:00,109.95,44455.25
1757188800000,2025-09-06 22:00:00,92.95,42410.25
1757192400000,2025-09-06 23:00:00,82.56,39886.00
1757196000000,2025-09-07 00:00:00,89.72,37406.75
1757199600000,2025-09-07 01:00:00,85.02,36557.00
1757203200000,2025-09-07 02:00:00,80.77,35508.00
1757206800000,2025-09-07 03:00:00,83.40,35156.00
1757210400000,2025-09-07 04:00:00,82.92,35088.00
1757214000000,2025-09-07 05:00:00,82.67,35347.25
1757217600000,2025-09-07 06:00:00,81.50,35932.25
1757221200000,2025-09-07 07:00:00,55.48,37950.50
1757224800000,2025-09-07 08:00:00,0.00,41942.25
1757228400000,2025-09-07 09:00:00,-0.09,45645.75
1757232000000,2025-09-07 10:00:00,-4.00,46621.00
1757235600000,2025-09-07 11:00:00,-20.09,46718.75
1757239200000,2025-09-07 12:00:00,-40.02,45619.00
1757242800000,2025-09-07 13:00:00,-53.40,43527.50
1757246400000,2025-09-07 14:00:00,-49.99,42208.25
1757250000000,2025-09-07 15:00:00,-21.21,41801.75
1757253600000,2025-09-07 16:00:00,-2.47,42365.50
1757257200000,2025-09-07 17:00:00,3.36,43706.75
1757260800000,2025-09-07 18:00:00,95.91,45782.00
1757264400000,2025-09-07 19:00:00,108.30,46411.00
1757268000000,2025-09-07 20:00:00,96.25,47181.50
1757271600000,2025-09-07 21:00:00,86.02,45734.00
1757275200000,2025-09-07 22:00:00,85.01,44536.50
1757278800000,2025-09-07 23:00:00,86.06,41901.25
