time_berlin,price (MWh),demand (MW)
2025-03-03 00:00:00,108.01,47885.25
2025-03-03 01:00:00,103.69,46778.75
2025-03-03 02:00:00,102.79,46363.25
2025-03-03 03:00:00,99.70,46967.00
2025-03-03 04:00:00,103.37,48855.00
2025-03-03 05:00:00,116.70,52019.75
2025-03-03 06:00:00,137.51,59015.75
2025-03-03 07:00:00,163.00,63237.00
2025-03-03 08:00:00,147.52,65620.50
2025-03-03 09:00:00,106.74,66519.50
2025-03-03 10:00:00,72.39,66159.75
2025-03-03 11:00:00,6.40,65434.00
2025-03-03 12:00:00,0.33,63517.50
2025-03-03 13:00:00,0.01,61625.00
2025-03-03 14:00:00,61.40,60464.00
2025-03-03 15:00:00,84.10,60065.75
2025-03-03 16:00:00,106.36,60074.00
2025-03-03 17:00:00,148.79,62667.75
2025-03-03 18:00:00,183.95,65711.50
2025-03-03 19:00:00,175.93,65251.00
2025-03-03 20:00:00,150.49,62218.25
2025-03-03 21:00:00,128.21,59288.25
2025-03-03 22:00:00,124.93,56509.25
2025-03-03 23:00:00,122.46,53483.50
2025-03-04 00:00:00,121.00,51307.75
2025-03-04 01:00:00,109.44,49708.50
2025-03-04 02:00:00,103.79,49342.50
2025-03-04 03:00:00,104.82,49573.75
2025-03-04 04:00:00,100.28,51452.75
2025-03-04 05:00:00,111.51,55266.25
2025-03-04 06:00:00,141.86,61929.50
2025-03-04 07:00:00,169.61,65637.50
2025-03-04 08:00:00,141.95,68102.00
2025-03-04 09:00:00,110.98,67948.00
2025-03-04 10:00:00,80.02,68085.50
2025-03-04 11:00:00,48.58,66982.25
2025-03-04 12:00:00,20.53,64817.75
2025-03-04 13:00:00,14.34,62733.00
2025-03-04 14:00:00,52.31,60990.75
2025-03-04 15:00:00,81.29,59914.00
2025-03-04 16:00:00,111.15,60308.75
2025-03-04 17:00:00,148.61,64075.50
2025-03-04 18:00:00,180.92,67244.50
2025-03-04 19:00:00,163.67,66925.25
2025-03-04 20:00:00,134.13,63511.25
2025-03-04 21:00:00,114.38,60355.75
2025-03-04 22:00:00,114.41,57650.50
2025-03-04 23:00:00,106.81,54039.50
2025-03-05 00:00:00,90.05,51334.75
2025-03-05 01:00:00,83.07,50068.25
2025-03-05 02:00:00,83.01,49607.50
2025-03-05 03:00:00,79.71,49856.00
2025-03-05 04:00:00,81.63,51459.00
2025-03-05 05:00:00,91.94,55046.00
2025-03-05 06:00:00,115.57,62367.50
2025-03-05 07:00:00,140.16,66469.00
2025-03-05 08:00:00,85.64,68768.75
2025-03-05 09:00:00,41.63,68263.75
2025-03-05 10:00:00,0.02,66155.50
2025-03-05 11:00:00,-0.07,63955.25
2025-03-05 12:00:00,-4.28,61334.75
2025-03-05 13:00:00,-3.70,60188.50
2025-03-05 14:00:00,0.05,61053.25
2025-03-05 15:00:00,48.50,60686.50
2025-03-05 16:00:00,89.89,61048.25
2025-03-05 17:00:00,133.13,64619.25
2025-03-05 18:00:00,146.23,68170.50
2025-03-05 19:00:00,145.89,68633.50
2025-03-05 20:00:00,123.00,64743.50
2025-03-05 21:00:00,108.12,61270.25
2025-03-05 22:00:00,109.12,58165.00
2025-03-05 23:00:00,96.98,54105.75
2025-03-06 00:00:00,83.90,51482.75
2025-03-06 01:00:00,84.84,50049.50
2025-03-06 02:00:00,87.00,48941.75
2025-03-06 03:00:00,88.12,48756.50
2025-03-06 04:00:00,94.56,50060.00
2025-03-06 05:00:00,95.91,53490.50
2025-03-06 06:00:00,139.28,60448.75
2025-03-06 07:00:00,151.32,64340.50
2025-03-06 08:00:00,108.50,66384.50
2025-03-06 09:00:00,78.70,66575.75
2025-03-06 10:00:00,50.47,65365.00
2025-03-06 11:00:00,4.02,63794.25
2025-03-06 12:00:00,0.08,61294.50
2025-03-06 13:00:00,0.02,59739.25
2025-03-06 14:00:00,13.16,59082.25
2025-03-06 15:00:00,71.00,58257.50
2025-03-06 16:00:00,116.52,58507.25
2025-03-06 17:00:00,148.95,61895.00
2025-03-06 18:00:00,165.36,64308.25
2025-03-06 19:00:00,149.10,63825.00
2025-03-06 20:00:00,125.64,60139.75
2025-03-06 21:00:00,106.63,56925.75
2025-03-06 22:00:00,101.47,53675.75
2025-03-06 23:00:00,91.11,50706.00
2025-03-07 00:00:00,90.27,47525.50
2025-03-07 01:00:00,90.27,46026.00
2025-03-07 02:00:00,91.38,45028.00
2025-03-07 03:00:00,91.69,45514.75
2025-03-07 04:00:00,99.00,47571.00
2025-03-07 05:00:00,115.17,51268.50
2025-03-07 06:00:00,135.67,57800.25
2025-03-07 07:00:00,147.70,61923.25
2025-03-07 08:00:00,122.23,63937.25
2025-03-07 09:00:00,83.00,64515.00
2025-03-07 10:00:00,65.30,63350.50
2025-03-07 11:00:00,31.81,61414.25
2025-03-07 12:00:00,12.79,59520.50
2025-03-07 13:00:00,8.08,57041.75
2025-03-07 14:00:00,37.06,55370.25
2025-03-07 15:00:00,90.15,55367.75
2025-03-07 16:00:00,126.99,56124.50
2025-03-07 17:00:00,149.91,58826.75
2025-03-07 18:00:00,216.64,61234.75
2025-03-07 19:00:00,178.68,60726.50
2025-03-07 20:00:00,148.70,57013.75
2025-03-07 21:00:00,132.40,53731.00
2025-03-07 22:00:00,119.11,50836.25
2025-03-07 23:00:00,111.83,47657.50
2025-03-08 00:00:00,124.97,45361.50
2025-03-08 01:00:00,113.94,43773.25
2025-03-08 02:00:00,117.22,42700.75
2025-03-08 03:00:00,116.76,42544.25
2025-03-08 04:00:00,118.42,43225.75
2025-03-08 05:00:00,121.30,43749.75
2025-03-08 06:00:00,127.82,45063.75
2025-03-08 07:00:00,120.59,47644.75
2025-03-08 08:00:00,98.04,50693.75
2025-03-08 09:00:00,72.54,52795.25
2025-03-08 10:00:00,18.05,52634.25
2025-03-08 11:00:00,2.07,51587.75
