time_berlin,price (MWh),demand (MW)
2023-12-11 00:00:00,34.44,44567.50
2023-12-11 01:00:00,15.50,43230.75
2023-12-11 02:00:00,12.72,43043.00
2023-12-11 03:00:00,8.62,43651.25
2023-12-11 04:00:00,11.82,44952.50
2023-12-11 05:00:00,38.04,48085.75
2023-12-11 06:00:00,74.59,56178.75
2023-12-11 07:00:00,91.36,62740.00
2023-12-11 08:00:00,97.98,65838.25
2023-12-11 09:00:00,98.33,66981.00
2023-12-11 10:00:00,93.36,67588.50
2023-12-11 11:00:00,90.68,68156.00
2023-12-11 12:00:00,89.31,67832.25
2023-12-11 13:00:00,88.03,67635.75
2023-12-11 14:00:00,92.51,66483.00
2023-12-11 15:00:00,95.92,66631.25
2023-12-11 16:00:00,105.51,67691.50
2023-12-11 17:00:00,117.99,68890.25
2023-12-11 18:00:00,122.64,67966.75
2023-12-11 19:00:00,121.35,66466.00
2023-12-11 20:00:00,114.03,62776.75
2023-12-11 21:00:00,99.24,59306.50
2023-12-11 22:00:00,96.48,55924.50
2023-12-11 23:00:00,86.82,52189.50
2023-12-12 00:00:00,88.05,48860.00
2023-12-12 01:00:00,87.06,47257.00
2023-12-12 02:00:00,85.62,46554.50
2023-12-12 03:00:00,84.42,46510.50
2023-12-12 04:00:00,87.01,47564.25
2023-12-12 05:00:00,89.03,50796.00
2023-12-12 06:00:00,107.41,57922.75
2023-12-12 07:00:00,121.09,64374.25
2023-12-12 08:00:00,146.33,66967.75
2023-12-12 09:00:00,131.94,67144.25
2023-12-12 10:00:00,129.85,67323.25
2023-12-12 11:00:00,122.90,67324.75
2023-12-12 12:00:00,124.57,66978.75
2023-12-12 13:00:00,127.18,66588.25
2023-12-12 14:00:00,123.70,65960.00
2023-12-12 15:00:00,120.14,66028.00
2023-12-12 16:00:00,117.93,67126.25
2023-12-12 17:00:00,110.88,68119.25
2023-12-12 18:00:00,105.00,67565.75
2023-12-12 19:00:00,94.22,65873.25
2023-12-12 20:00:00,92.15,62745.00
2023-12-12 21:00:00,88.14,59846.50
2023-12-12 22:00:00,83.37,56214.25
2023-12-12 23:00:00,77.50,52219.00
2023-12-13 00:00:00,75.36,48241.25
2023-12-13 01:00:00,72.96,46476.50
2023-12-13 02:00:00,73.70,46140.50
2023-12-13 03:00:00,71.43,46914.00
2023-12-13 04:00:00,73.02,48190.00
