time_berlin,price (MWh),demand (MW)
2025-05-05 00:00:00,75.18,38980.25
2025-05-05 01:00:00,70.51,38318.00
2025-05-05 02:00:00,72.25,38124.25
2025-05-05 03:00:00,75.15,38426.00
2025-05-05 04:00:00,74.98,39791.75
2025-05-05 05:00:00,89.49,43906.50
2025-05-05 06:00:00,110.92,51502.00
2025-05-05 07:00:00,122.57,55911.25
2025-05-05 08:00:00,106.69,59032.50
2025-05-05 09:00:00,90.82,59045.75
2025-05-05 10:00:00,80.00,59003.50
2025-05-05 11:00:00,61.65,59041.00
2025-05-05 12:00:00,53.83,58417.50
2025-05-05 13:00:00,49.66,57815.25
2025-05-05 14:00:00,59.30,56092.75
2025-05-05 15:00:00,70.42,55341.25
2025-05-05 16:00:00,78.88,55393.25
2025-05-05 17:00:00,89.22,56192.00
2025-05-05 18:00:00,100.10,57557.75
2025-05-05 19:00:00,128.92,57407.25
2025-05-05 20:00:00,128.00,55881.25
2025-05-05 21:00:00,113.17,54280.25
2025-05-05 22:00:00,101.52,50839.75
2025-05-05 23:00:00,94.46,47455.50
2025-05-06 00:00:00,87.22,44421.75
2025-05-06 01:00:00,81.68,43094.75
2025-05-06 02:00:00,81.29,42470.50
2025-05-06 03:00:00,79.96,42456.25
2025-05-06 04:00:00,82.39,43727.75
2025-05-06 05:00:00,97.08,47452.75
2025-05-06 06:00:00,114.57,53523.25
2025-05-06 07:00:00,121.86,58231.25
2025-05-06 08:00:00,108.37,59718.50
2025-05-06 09:00:00,83.08,59356.00
2025-05-06 10:00:00,72.27,59244.25
2025-05-06 11:00:00,59.89,58747.50
2025-05-06 12:00:00,42.81,56983.25
2025-05-06 13:00:00,38.17,54960.25
2025-05-06 14:00:00,45.44,53312.00
2025-05-06 15:00:00,65.00,53155.00
2025-05-06 16:00:00,73.73,53075.25
2025-05-06 17:00:00,89.99,54252.25
2025-05-06 18:00:00,106.89,55486.25
2025-05-06 19:00:00,134.09,55751.00
2025-05-06 20:00:00,161.18,54377.25
2025-05-06 21:00:00,136.60,53656.50
2025-05-06 22:00:00,118.28,50274.50
2025-05-06 23:00:00,101.27,46834.75
2025-05-07 00:00:00,92.67,44048.25
2025-05-07 01:00:00,87.05,42758.50
2025-05-07 02:00:00,85.63,42185.25
2025-05-07 03:00:00,88.60,42146.50
2025-05-07 04:00:00,95.16,43087.00
2025-05-07 05:00:00,108.57,46528.00
2025-05-07 06:00:00,131.68,52755.50
2025-05-07 07:00:00,143.95,57151.00
2025-05-07 08:00:00,125.00,59272.25
2025-05-07 09:00:00,96.43,59645.75
2025-05-07 10:00:00,82.41,57842.75
2025-05-07 11:00:00,73.30,57764.50
2025-05-07 12:00:00,64.43,56786.00
2025-05-07 13:00:00,63.92,55965.50
2025-05-07 14:00:00,68.04,54961.00
2025-05-07 15:00:00,75.00,54231.75
2025-05-07 16:00:00,81.80,54354.75
2025-05-07 17:00:00,95.85,55515.75
2025-05-07 18:00:00,108.49,56858.75
2025-05-07 19:00:00,128.93,56925.25
2025-05-07 20:00:00,147.15,55232.00
2025-05-07 21:00:00,125.18,54210.75
2025-05-07 22:00:00,108.49,50474.25
2025-05-07 23:00:00,96.59,47051.25
2025-05-08 00:00:00,95.86,44392.50
2025-05-08 01:00:00,91.66,42848.00
2025-05-08 02:00:00,91.51,41910.25
2025-05-08 03:00:00,93.18,42070.25
2025-05-08 04:00:00,96.09,43170.75
2025-05-08 05:00:00,109.25,46348.25
2025-05-08 06:00:00,124.27,52508.25
2025-05-08 07:00:00,138.73,56849.25
2025-05-08 08:00:00,124.11,59260.75
2025-05-08 09:00:00,101.13,59323.00
2025-05-08 10:00:00,87.81,57474.75
2025-05-08 11:00:00,75.34,56439.00
2025-05-08 12:00:00,64.25,55870.75
2025-05-08 13:00:00,63.75,55277.75
2025-05-08 14:00:00,70.05,54723.00
2025-05-08 15:00:00,78.77,54194.25
2025-05-08 16:00:00,85.30,54251.75
2025-05-08 17:00:00,91.63,55261.75
2025-05-08 18:00:00,109.09,56576.25
2025-05-08 19:00:00,134.96,56248.50
2025-05-08 20:00:00,185.08,55318.75
2025-05-08 21:00:00,143.18,53652.00
2025-05-08 22:00:00,114.77,50323.50
2025-05-08 23:00:00,106.48,46960.25
2025-05-09 00:00:00,102.27,44329.50
2025-05-09 01:00:00,96.55,42593.75
2025-05-09 02:00:00,93.76,41930.25
2025-05-09 03:00:00,95.09,42252.75
2025-05-09 04:00:00,100.28,43413.25
2025-05-09 05:00:00,112.40,46862.25
2025-05-09 06:00:00,141.00,53061.00
2025-05-09 07:00:00,136.03,57007.25
2025-05-09 08:00:00,100.61,59302.75
2025-05-09 09:00:00,82.00,57717.25
2025-05-09 10:00:00,51.60,55749.25
2025-05-09 11:00:00,0.10,55145.00
2025-05-09 12:00:00,-0.74,54666.00
2025-05-09 13:00:00,-0.04,53577.50
2025-05-09 14:00:00,-0.01,52088.00
2025-05-09 15:00:00,0.09,51488.75
2025-05-09 16:00:00,52.66,51218.00
2025-05-09 17:00:00,79.06,51833.50
2025-05-09 18:00:00,98.90,52865.00
2025-05-09 19:00:00,120.00,53765.00
2025-05-09 20:00:00,149.13,53035.75
2025-05-09 21:00:00,130.35,51145.75
2025-05-09 22:00:00,107.32,48802.50
2025-05-09 23:00:00,98.32,45428.00
2025-05-10 00:00:00,105.22,42249.75
2025-05-10 01:00:00,102.91,40322.00
2025-05-10 02:00:00,98.78,38955.25
2025-05-10 03:00:00,96.28,38491.25
2025-05-10 04:00:00,100.90,38648.50
2025-05-10 05:00:00,100.47,38938.75
2025-05-10 06:00:00,97.73,40467.75
2025-05-10 07:00:00,93.91,42527.00
2025-05-10 08:00:00,73.72,45610.00
2025-05-10 09:00:00,9.02,46744.75
2025-05-10 10:00:00,-0.07,46580.50
2025-05-10 11:00:00,-22.88,45921.25
2025-05-10 12:00:00,-58.48,44802.50
2025-05-10 13:00:00,-114.53,42802.75
2025-05-10 14:00:00,-110.51,41030.00
2025-05-10 15:00:00,-49.52,40577.75
2025-05-10 16:00:00,-5.94,41256.50
2025-05-10 17:00:00,23.99,42659.00
2025-05-10 18:00:00,95.27,44667.75
2025-05-10 19:00:00,124.04,46146.50
2025-05-10 20:00:00,163.20,45586.50
2025-05-10 21:00:00,129.49,44618.00
2025-05-10 22:00:00,107.72,43068.50
2025-05-10 23:00:00,94.49,40784.75
2025-05-11 00:00:00,97.80,38171.00
2025-05-11 01:00:00,95.10,36362.50
2025-05-11 02:00:00,94.51,35003.75
2025-05-11 03:00:00,95.42,34406.00
2025-05-11 04:00:00,95.39,34240.00
2025-05-11 05:00:00,95.45,34465.50
2025-05-11 06:00:00,87.61,35264.25
2025-05-11 07:00:00,65.76,36979.25
2025-05-11 08:00:00,4.96,40527.25
2025-05-11 09:00:00,-0.10,41582.50
2025-05-11 10:00:00,-12.02,41444.25
2025-05-11 11:00:00,-51.95,41596.50
2025-05-11 12:00:00,-212.82,40165.75
2025-05-11 13:00:00,-250.32,37795.25
2025-05-11 14:00:00,-230.98,36738.25
2025-05-11 15:00:00,-110.06,36801.50
2025-05-11 16:00:00,-18.52,37131.50
2025-05-11 17:00:00,-0.08,39337.50
2025-05-11 18:00:00,85.96,42573.25
2025-05-11 19:00:00,117.11,43975.50
2025-05-11 20:00:00,124.86,44576.00
2025-05-11 21:00:00,109.55,45124.50
2025-05-11 22:00:00,98.45,44710.50
2025-05-11 23:00:00,84.68,41844.25
