time_berlin,price (MWh),demand (MW)
2021-05-10 00:00:00,45.06,45987.00
2021-05-10 01:00:00,42.11,44135.50
2021-05-10 02:00:00,40.00,43242.25
2021-05-10 03:00:00,35.45,43040.00
2021-05-10 04:00:00,28.03,44441.75
2021-05-10 05:00:00,37.00,47913.75
2021-05-10 06:00:00,57.12,55924.50
2021-05-10 07:00:00,69.99,62456.50
2021-05-10 08:00:00,74.07,64997.75
2021-05-10 09:00:00,59.56,65678.00
2021-05-10 10:00:00,50.89,66487.25
2021-05-10 11:00:00,46.88,68216.75
2021-05-10 12:00:00,42.13,67734.25
2021-05-10 13:00:00,46.28,66292.50
2021-05-10 14:00:00,47.44,64977.00
2021-05-10 15:00:00,53.25,64308.75
2021-05-10 16:00:00,57.63,62780.00
2021-05-10 17:00:00,65.92,62075.75
2021-05-10 18:00:00,74.16,61718.25
2021-05-10 19:00:00,83.94,61244.00
2021-05-10 20:00:00,90.12,59701.75
2021-05-10 21:00:00,84.00,58012.25
2021-05-10 22:00:00,79.91,55033.25
2021-05-10 23:00:00,68.00,50435.75
2021-05-11 00:00:00,70.00,47186.00
2021-05-11 01:00:00,64.92,45381.75
2021-05-11 02:00:00,60.39,44805.75
2021-05-11 03:00:00,56.67,45164.50
2021-05-11 04:00:00,57.37,46498.25
2021-05-11 05:00:00,63.09,49561.50
2021-05-11 06:00:00,76.97,56307.50
2021-05-11 07:00:00,85.99,61799.00
2021-05-11 08:00:00,93.37,65073.25
2021-05-11 09:00:00,85.71,65575.50
2021-05-11 10:00:00,79.48,66101.25
2021-05-11 11:00:00,77.66,67727.25
2021-05-11 12:00:00,74.25,67759.50
2021-05-11 13:00:00,69.16,65971.00
2021-05-11 14:00:00,61.06,64324.25
2021-05-11 15:00:00,62.05,63423.00
2021-05-11 16:00:00,62.12,62758.50
2021-05-11 17:00:00,69.43,62759.50
2021-05-11 18:00:00,77.66,62958.75
2021-05-11 19:00:00,81.19,62568.00
2021-05-11 20:00:00,80.00,61103.25
2021-05-11 21:00:00,79.62,58781.00
2021-05-11 22:00:00,75.34,54911.50
2021-05-11 23:00:00,68.62,50486.50
2021-05-12 00:00:00,62.26,48965.75
2021-05-12 01:00:00,58.20,46867.00
2021-05-12 02:00:00,56.31,45425.25
2021-05-12 03:00:00,54.81,45213.25
2021-05-12 04:00:00,55.01,46764.75
2021-05-12 05:00:00,58.84,49836.00
2021-05-12 06:00:00,69.99,56335.75
