time_berlin,price (MWh),demand (MW)
2020-03-23 00:00:00,12.07,47479.25
2020-03-23 01:00:00,10.00,46043.25
2020-03-23 02:00:00,10.17,45389.25
2020-03-23 03:00:00,9.28,45628.50
2020-03-23 04:00:00,9.28,46787.50
2020-03-23 05:00:00,12.76,50055.00
2020-03-23 06:00:00,20.00,55316.75
2020-03-23 07:00:00,23.99,60052.00
2020-03-23 08:00:00,20.08,62700.00
2020-03-23 09:00:00,15.84,63552.50
2020-03-23 10:00:00,10.66,65141.75
2020-03-23 11:00:00,10.70,66331.25
2020-03-23 12:00:00,10.62,65116.75
2020-03-23 13:00:00,10.92,63550.25
2020-03-23 14:00:00,12.07,61954.75
2020-03-23 15:00:00,12.01,61251.75
2020-03-23 16:00:00,17.40,59871.25
2020-03-23 17:00:00,25.95,60325.50
2020-03-23 18:00:00,30.67,62404.25
2020-03-23 19:00:00,33.14,64916.25
2020-03-23 20:00:00,27.99,62018.50
2020-03-23 21:00:00,21.97,58964.75
2020-03-23 22:00:00,21.84,56517.25
2020-03-23 23:00:00,18.18,53553.75
2020-03-24 00:00:00,16.63,50742.75
2020-03-24 01:00:00,17.55,49183.25
2020-03-24 02:00:00,16.53,48645.00
2020-03-24 03:00:00,16.81,48242.50
2020-03-24 04:00:00,17.60,48620.25
2020-03-24 05:00:00,19.80,51285.00
2020-03-24 06:00:00,23.63,56013.50
2020-03-24 07:00:00,25.88,60095.75
2020-03-24 08:00:00,20.35,62504.25
2020-03-24 09:00:00,17.50,62983.50
2020-03-24 10:00:00,14.16,64627.50
2020-03-24 11:00:00,15.08,65313.25
2020-03-24 12:00:00,14.30,65142.25
2020-03-24 13:00:00,13.00,63109.00
2020-03-24 14:00:00,14.33,61212.25
2020-03-24 15:00:00,16.65,59697.25
2020-03-24 16:00:00,19.79,58789.75
2020-03-24 17:00:00,27.75,59787.00
2020-03-24 18:00:00,33.80,62037.50
2020-03-24 19:00:00,33.78,64350.50
2020-03-24 20:00:00,29.65,61419.25
2020-03-24 21:00:00,22.98,58803.50
2020-03-24 22:00:00,22.98,56261.50
2020-03-24 23:00:00,20.31,53063.00
2020-03-25 00:00:00,19.29,50971.50
2020-03-25 01:00:00,19.21,48795.00
2020-03-25 02:00:00,19.50,48058.25
2020-03-25 03:00:00,19.33,48476.75
2020-03-25 04:00:00,19.26,49109.25
2020-03-25 05:00:00,21.51,51865.50
2020-03-25 06:00:00,25.84,55941.75
2020-03-25 07:00:00,29.15,60308.00
2020-03-25 08:00:00,27.64,62663.50
2020-03-25 09:00:00,23.62,63260.00
2020-03-25 10:00:00,20.05,63734.50
2020-03-25 11:00:00,19.57,64817.25
2020-03-25 12:00:00,19.97,64615.00
2020-03-25 13:00:00,19.05,62697.50
2020-03-25 14:00:00,18.70,60836.50
2020-03-25 15:00:00,17.57,59730.50
2020-03-25 16:00:00,19.96,58630.25
2020-03-25 17:00:00,27.09,59303.25
2020-03-25 18:00:00,34.88,61493.25
2020-03-25 19:00:00,34.48,64206.50
2020-03-25 20:00:00,28.09,60953.50
2020-03-25 21:00:00,24.51,57930.50
2020-03-25 22:00:00,24.02,55386.50
2020-03-25 23:00:00,21.18,52337.25
