time_berlin,price (MWh),demand (MW)
2022-09-26 00:00:00,248.77,40500.50
2022-09-26 01:00:00,179.85,39505.00
2022-09-26 02:00:00,156.84,39268.00
2022-09-26 03:00:00,121.24,39721.25
2022-09-26 04:00:00,98.22,41670.50
2022-09-26 05:00:00,155.92,45712.25
2022-09-26 06:00:00,244.59,53755.00
2022-09-26 07:00:00,333.89,59090.00
2022-09-26 08:00:00,329.99,61642.25
2022-09-26 09:00:00,291.50,62289.50
2022-09-26 10:00:00,259.75,64426.00
2022-09-26 11:00:00,217.48,65576.00
2022-09-26 12:00:00,162.98,65987.50
2022-09-26 13:00:00,173.93,65382.75
2022-09-26 14:00:00,154.25,64170.25
2022-09-26 15:00:00,165.24,63308.00
2022-09-26 16:00:00,197.39,62126.75
2022-09-26 17:00:00,309.08,61946.50
2022-09-26 18:00:00,389.01,61712.25
2022-09-26 19:00:00,419.01,62550.25
2022-09-26 20:00:00,396.58,60344.00
2022-09-26 21:00:00,329.70,56683.75
2022-09-26 22:00:00,303.08,52971.75
2022-09-26 23:00:00,263.91,48891.50
2022-09-27 00:00:00,190.95,44812.00
2022-09-27 01:00:00,180.24,43281.25
2022-09-27 02:00:00,169.80,42174.00
2022-09-27 03:00:00,151.30,42374.00
2022-09-27 04:00:00,167.35,43822.50
2022-09-27 05:00:00,209.97,47343.75
2022-09-27 06:00:00,327.48,54434.75
2022-09-27 07:00:00,415.95,59748.75
2022-09-27 08:00:00,443.51,62391.50
2022-09-27 09:00:00,412.29,63002.50
2022-09-27 10:00:00,366.86,63629.50
2022-09-27 11:00:00,351.37,64663.75
2022-09-27 12:00:00,301.37,64044.50
2022-09-27 13:00:00,293.27,63465.50
2022-09-27 14:00:00,288.65,62566.75
2022-09-27 15:00:00,295.21,62067.00
2022-09-27 16:00:00,308.29,60018.50
2022-09-27 17:00:00,365.30,59804.00
2022-09-27 18:00:00,381.50,60271.25
2022-09-27 19:00:00,418.99,60830.75
2022-09-27 20:00:00,400.52,57916.50
2022-09-27 21:00:00,351.43,53618.75
2022-09-27 22:00:00,333.69,49942.25
2022-09-27 23:00:00,319.71,46893.50
2022-09-28 00:00:00,306.42,43965.75
2022-09-28 01:00:00,275.78,42220.00
2022-09-28 02:00:00,245.94,41556.75
2022-09-28 03:00:00,242.98,41739.25
2022-09-28 04:00:00,273.77,42851.50
2022-09-28 05:00:00,307.13,46006.25
2022-09-28 06:00:00,383.17,53902.50
2022-09-28 07:00:00,472.63,59058.75
2022-09-28 08:00:00,500.38,61702.75
2022-09-28 09:00:00,429.91,62370.75
2022-09-28 10:00:00,409.97,63453.75
2022-09-28 11:00:00,394.60,63917.25
2022-09-28 12:00:00,353.76,63814.00
2022-09-28 13:00:00,346.45,62746.50
2022-09-28 14:00:00,331.80,61100.00
2022-09-28 15:00:00,357.91,59761.00
2022-09-28 16:00:00,384.98,58374.00
2022-09-28 17:00:00,435.59,58612.25
2022-09-28 18:00:00,510.79,59034.00
2022-09-28 19:00:00,640.42,60118.50
2022-09-28 20:00:00,510.00,57716.25
2022-09-28 21:00:00,419.99,54028.75
2022-09-28 22:00:00,372.61,50327.00
2022-09-28 23:00:00,361.80,46647.00
2022-09-29 00:00:00,351.45,43831.50
2022-09-29 01:00:00,336.51,41873.25
2022-09-29 02:00:00,326.14,41502.75
2022-09-29 03:00:00,315.19,42039.25
2022-09-29 04:00:00,320.00,43324.75
2022-09-29 05:00:00,345.53,47185.25
2022-09-29 06:00:00,440.07,54521.25
2022-09-29 07:00:00,569.93,59363.75
2022-09-29 08:00:00,583.44,61649.25
2022-09-29 09:00:00,478.20,62172.75
2022-09-29 10:00:00,443.38,62950.00
2022-09-29 11:00:00,377.86,63350.50
2022-09-29 12:00:00,394.98,63116.75
2022-09-29 13:00:00,344.25,61873.75
2022-09-29 14:00:00,335.99,60104.50
2022-09-29 15:00:00,368.94,58787.00
2022-09-29 16:00:00,389.75,58006.25
2022-09-29 17:00:00,445.01,58551.25
2022-09-29 18:00:00,523.19,58991.00
2022-09-29 19:00:00,605.00,60170.25
2022-09-29 20:00:00,520.00,58002.50
2022-09-29 21:00:00,424.99,54589.25
