time_berlin,price (MWh),demand (MW)
2024-11-04 00:00:00,92.04,41731.75
2024-11-04 01:00:00,89.96,40586.00
2024-11-04 02:00:00,90.07,40344.50
2024-11-04 03:00:00,89.86,40757.75
2024-11-04 04:00:00,90.80,42584.00
2024-11-04 05:00:00,98.52,46397.25
2024-11-04 06:00:00,124.89,54701.25
2024-11-04 07:00:00,144.91,60333.50
2024-11-04 08:00:00,139.18,63042.75
2024-11-04 09:00:00,120.63,63872.75
2024-11-04 10:00:00,100.00,64035.50
2024-11-04 11:00:00,97.12,63970.75
2024-11-04 12:00:00,95.16,63367.50
2024-11-04 13:00:00,98.47,62381.75
2024-11-04 14:00:00,103.17,60407.25
2024-11-04 15:00:00,130.40,60479.75
2024-11-04 16:00:00,181.47,61328.50
2024-11-04 17:00:00,290.21,64180.75
2024-11-04 18:00:00,241.04,63799.25
2024-11-04 19:00:00,162.09,62313.75
2024-11-04 20:00:00,123.00,58911.75
2024-11-04 21:00:00,112.27,55770.00
2024-11-04 22:00:00,107.98,52102.00
2024-11-04 23:00:00,97.60,48525.75
2024-11-05 00:00:00,101.77,46227.75
2024-11-05 01:00:00,94.00,44809.00
2024-11-05 02:00:00,91.20,44087.25
2024-11-05 03:00:00,93.00,44727.00
2024-11-05 04:00:00,95.39,46274.50
2024-11-05 05:00:00,104.88,49274.75
2024-11-05 06:00:00,127.95,56571.25
2024-11-05 07:00:00,149.32,61692.00
2024-11-05 08:00:00,139.15,64793.25
2024-11-05 09:00:00,118.23,64944.00
2024-11-05 10:00:00,105.87,65607.75
2024-11-05 11:00:00,95.28,66398.00
2024-11-05 12:00:00,94.92,65988.50
2024-11-05 13:00:00,99.25,64442.50
2024-11-05 14:00:00,110.35,62869.75
2024-11-05 15:00:00,155.99,62081.25
2024-11-05 16:00:00,331.83,62201.75
2024-11-05 17:00:00,505.31,65151.50
2024-11-05 18:00:00,468.74,65058.50
2024-11-05 19:00:00,341.70,63177.75
2024-11-05 20:00:00,172.14,59777.00
2024-11-05 21:00:00,130.77,56391.25
2024-11-05 22:00:00,117.77,53024.50
2024-11-05 23:00:00,110.03,49815.50
2024-11-06 00:00:00,106.39,47092.00
2024-11-06 01:00:00,99.05,45605.75
2024-11-06 02:00:00,95.47,45207.75
2024-11-06 03:00:00,97.04,45420.50
2024-11-06 04:00:00,100.51,46804.75
2024-11-06 05:00:00,110.25,49850.75
2024-11-06 06:00:00,163.40,57449.00
2024-11-06 07:00:00,299.99,62611.25
2024-11-06 08:00:00,240.54,65643.75
2024-11-06 09:00:00,144.94,66476.75
2024-11-06 10:00:00,133.46,67077.50
2024-11-06 11:00:00,123.20,68086.75
2024-11-06 12:00:00,123.20,67769.00
2024-11-06 13:00:00,125.55,66899.50
2024-11-06 14:00:00,141.76,65949.50
2024-11-06 15:00:00,270.09,64935.75
2024-11-06 16:00:00,524.25,64778.50
2024-11-06 17:00:00,820.11,66422.75
2024-11-06 18:00:00,805.08,65986.50
2024-11-06 19:00:00,450.00,63918.75
2024-11-06 20:00:00,207.35,60553.00
2024-11-06 21:00:00,133.48,56872.00
2024-11-06 22:00:00,119.35,53402.50
2024-11-06 23:00:00,111.73,49964.75
2024-11-07 00:00:00,109.54,47530.75
2024-11-07 01:00:00,102.98,45914.00
2024-11-07 02:00:00,99.74,45229.00
2024-11-07 03:00:00,99.85,45564.75
2024-11-07 04:00:00,102.73,46943.50
2024-11-07 05:00:00,116.89,50366.25
2024-11-07 06:00:00,157.41,57635.00
2024-11-07 07:00:00,219.56,63035.75
2024-11-07 08:00:00,191.99,65989.25
2024-11-07 09:00:00,152.92,66641.00
2024-11-07 10:00:00,148.90,67385.50
2024-11-07 11:00:00,134.81,68012.00
2024-11-07 12:00:00,135.06,67585.00
2024-11-07 13:00:00,132.91,66881.00
2024-11-07 14:00:00,139.94,65624.75
2024-11-07 15:00:00,189.42,65179.75
2024-11-07 16:00:00,261.16,65031.50
2024-11-07 17:00:00,408.26,66800.25
2024-11-07 18:00:00,296.78,66493.00
2024-11-07 19:00:00,175.11,64597.00
2024-11-07 20:00:00,129.41,60815.50
2024-11-07 21:00:00,113.92,57370.75
2024-11-07 22:00:00,111.77,54046.25
2024-11-07 23:00:00,99.87,50457.75
2024-11-08 00:00:00,99.57,47413.50
2024-11-08 01:00:00,99.73,45931.25
2024-11-08 02:00:00,97.97,45381.75
2024-11-08 03:00:00,97.69,45531.50
2024-11-08 04:00:00,97.45,47199.75
2024-11-08 05:00:00,98.21,50318.25
2024-11-08 06:00:00,107.19,57348.00
2024-11-08 07:00:00,127.55,62757.75
2024-11-08 08:00:00,132.91,65738.50
2024-11-08 09:00:00,126.52,66522.25
2024-11-08 10:00:00,117.34,67081.75
2024-11-08 11:00:00,110.94,67483.25
2024-11-08 12:00:00,105.59,66893.25
2024-11-08 13:00:00,106.81,65977.50
2024-11-08 14:00:00,112.25,64486.25
2024-11-08 15:00:00,123.59,64065.75
2024-11-08 16:00:00,129.10,64737.00
2024-11-08 17:00:00,128.56,66340.75
2024-11-08 18:00:00,132.90,65282.00
2024-11-08 19:00:00,127.19,62986.00
2024-11-08 20:00:00,115.74,59249.25
2024-11-08 21:00:00,109.48,55585.75
2024-11-08 22:00:00,113.00,52677.50
2024-11-08 23:00:00,104.06,49858.50
2024-11-09 00:00:00,105.10,46671.00
2024-11-09 01:00:00,99.96,43827.50
2024-11-09 02:00:00,98.00,43012.00
2024-11-09 03:00:00,96.68,42645.50
2024-11-09 04:00:00,98.41,42501.25
2024-11-09 05:00:00,100.69,43393.25
2024-11-09 06:00:00,104.31,45297.00
2024-11-09 07:00:00,109.87,47763.00
2024-11-09 08:00:00,114.10,50938.50
2024-11-09 09:00:00,114.60,53371.75
2024-11-09 10:00:00,109.97,54765.50
2024-11-09 11:00:00,106.40,55653.25
2024-11-09 12:00:00,106.88,55388.25
2024-11-09 13:00:00,108.00,54851.00
2024-11-09 14:00:00,110.18,53038.00
2024-11-09 15:00:00,121.46,52876.75
2024-11-09 16:00:00,137.23,54050.25
2024-11-09 17:00:00,146.93,56850.50
2024-11-09 18:00:00,147.80,56682.50
2024-11-09 19:00:00,139.90,54655.00
2024-11-09 20:00:00,128.32,51572.75
2024-11-09 21:00:00,117.96,49098.25
2024-11-09 22:00:00,114.53,47407.25
2024-11-09 23:00:00,110.10,44705.25
2024-11-10 00:00:00,104.99,42127.75
2024-11-10 01:00:00,102.28,40341.75
2024-11-10 02:00:00,102.01,39499.50
2024-11-10 03:00:00,100.86,39623.75
2024-11-10 04:00:00,100.88,40055.75
2024-11-10 05:00:00,101.98,40017.00
2024-11-10 06:00:00,100.32,40546.00
2024-11-10 07:00:00,102.45,42468.75
2024-11-10 08:00:00,105.38,45276.25
2024-11-10 09:00:00,110.99,48269.00
2024-11-10 10:00:00,112.62,50747.25
2024-11-10 11:00:00,110.13,52874.00
2024-11-10 12:00:00,110.92,52455.50
2024-11-10 13:00:00,108.60,51590.75
2024-11-10 14:00:00,112.36,50639.00
2024-11-10 15:00:00,126.22,50928.00
2024-11-10 16:00:00,134.02,52519.00
2024-11-10 17:00:00,148.72,55490.00
2024-11-10 18:00:00,146.01,55845.25
2024-11-10 19:00:00,138.61,54566.50
2024-11-10 20:00:00,125.31,51884.00
2024-11-10 21:00:00,115.28,49968.75
2024-11-10 22:00:00,111.10,48194.75
2024-11-10 23:00:00,108.02,45592.75
