time_berlin,price (MWh),demand (MW)
2020-10-12 00:00:00,31.47,43488.25
2020-10-12 01:00:00,29.00,42295.00
2020-10-12 02:00:00,29.60,42082.75
2020-10-12 03:00:00,28.91,42507.50
2020-10-12 04:00:00,28.72,43867.25
2020-10-12 05:00:00,29.55,47385.75
2020-10-12 06:00:00,44.70,55883.75
2020-10-12 07:00:00,54.28,62236.75
2020-10-12 08:00:00,61.44,65074.50
2020-10-12 09:00:00,59.62,65986.50
2020-10-12 10:00:00,55.05,67172.25
2020-10-12 11:00:00,52.40,68396.25
2020-10-12 12:00:00,49.15,68117.50
2020-10-12 13:00:00,46.90,66627.75
2020-10-12 14:00:00,46.13,65618.75
2020-10-12 15:00:00,46.62,64519.00
2020-10-12 16:00:00,46.13,62965.00
2020-10-12 17:00:00,54.00,63536.25
2020-10-12 18:00:00,65.31,65248.50
2020-10-12 19:00:00,78.68,66602.75
2020-10-12 20:00:00,56.46,62667.50
2020-10-12 21:00:00,48.12,58128.75
2020-10-12 22:00:00,45.05,54485.00
2020-10-12 23:00:00,38.37,50635.25
2020-10-13 00:00:00,35.24,47313.00
2020-10-13 01:00:00,32.17,45809.25
2020-10-13 02:00:00,32.21,45318.00
2020-10-13 03:00:00,31.34,45656.25
2020-10-13 04:00:00,32.30,47214.25
2020-10-13 05:00:00,36.39,50647.25
2020-10-13 06:00:00,48.61,58223.75
2020-10-13 07:00:00,57.80,63746.25
2020-10-13 08:00:00,70.37,66231.00
2020-10-13 09:00:00,63.95,66782.00
2020-10-13 10:00:00,54.71,67329.75
2020-10-13 11:00:00,51.34,67964.25
2020-10-13 12:00:00,46.62,67665.25
2020-10-13 13:00:00,43.65,65892.00
2020-10-13 14:00:00,42.64,64511.25
2020-10-13 15:00:00,43.20,63555.50
2020-10-13 16:00:00,45.84,62376.75
2020-10-13 17:00:00,50.70,62857.50
2020-10-13 18:00:00,55.92,65719.00
2020-10-13 19:00:00,59.52,67620.00
2020-10-13 20:00:00,45.14,63975.25
2020-10-13 21:00:00,39.45,60153.00
2020-10-13 22:00:00,36.17,56286.25
2020-10-13 23:00:00,30.26,52440.75
2020-10-14 00:00:00,32.55,49849.25
2020-10-14 01:00:00,31.30,48365.75
2020-10-14 02:00:00,30.79,47884.50
2020-10-14 03:00:00,29.06,48646.75
2020-10-14 04:00:00,31.16,50184.75
2020-10-14 05:00:00,31.86,53560.75
2020-10-14 06:00:00,37.21,60722.75
2020-10-14 07:00:00,49.69,66849.25
2020-10-14 08:00:00,49.04,69406.25
2020-10-14 09:00:00,40.98,70167.50
2020-10-14 10:00:00,36.73,71199.00
2020-10-14 11:00:00,35.02,72452.75
2020-10-14 12:00:00,34.31,72060.00
2020-10-14 13:00:00,32.40,70731.00
2020-10-14 14:00:00,33.45,69442.75
2020-10-14 15:00:00,34.77,68725.00
2020-10-14 16:00:00,34.92,67705.00
2020-10-14 17:00:00,38.17,67996.00
2020-10-14 18:00:00,42.95,69532.00
2020-10-14 19:00:00,41.44,69722.00
2020-10-14 20:00:00,35.73,65859.25
2020-10-14 21:00:00,32.83,62127.00
2020-10-14 22:00:00,31.96,58310.75
2020-10-14 23:00:00,27.81,54284.75
2020-10-15 00:00:00,27.67,51755.25
2020-10-15 01:00:00,27.48,50083.75
2020-10-15 02:00:00,27.35,49092.75
2020-10-15 03:00:00,27.54,49384.00
2020-10-15 04:00:00,30.00,50474.25
2020-10-15 05:00:00,31.68,54086.75
2020-10-15 06:00:00,36.49,61425.25
2020-10-15 07:00:00,43.05,67377.50
2020-10-15 08:00:00,46.02,69632.75
2020-10-15 09:00:00,46.36,70391.00
2020-10-15 10:00:00,45.67,71175.75
2020-10-15 11:00:00,48.03,72119.75
2020-10-15 12:00:00,47.97,71746.00
2020-10-15 13:00:00,45.43,70641.75
2020-10-15 14:00:00,45.74,68851.00
2020-10-15 15:00:00,45.23,67632.75
2020-10-15 16:00:00,44.74,66611.50
2020-10-15 17:00:00,46.08,67185.75
2020-10-15 18:00:00,51.99,68367.50
2020-10-15 19:00:00,55.69,68529.00
2020-10-15 20:00:00,44.68,64233.75
2020-10-15 21:00:00,43.17,60230.25
2020-10-15 22:00:00,38.18,56268.50
2020-10-15 23:00:00,36.22,52284.00
2020-10-16 00:00:00,36.08,49279.50
2020-10-16 01:00:00,34.36,47548.75
2020-10-16 02:00:00,33.46,46424.75
2020-10-16 03:00:00,33.02,46937.25
2020-10-16 04:00:00,34.13,48537.25
2020-10-16 05:00:00,36.10,51488.75
2020-10-16 06:00:00,44.92,58463.25
2020-10-16 07:00:00,54.29,63826.50
2020-10-16 08:00:00,67.85,66109.25
2020-10-16 09:00:00,62.34,66946.50
2020-10-16 10:00:00,56.59,67722.25
2020-10-16 11:00:00,52.90,68623.75
2020-10-16 12:00:00,49.63,67963.25
2020-10-16 13:00:00,47.58,66344.00
2020-10-16 14:00:00,45.23,64623.75
2020-10-16 15:00:00,45.10,63776.50
2020-10-16 16:00:00,47.56,62782.75
2020-10-16 17:00:00,49.90,63082.25
2020-10-16 18:00:00,54.28,64661.50
2020-10-16 19:00:00,60.00,64652.75
2020-10-16 20:00:00,49.57,60850.75
2020-10-16 21:00:00,46.08,56741.75
2020-10-16 22:00:00,42.58,53203.50
2020-10-16 23:00:00,42.91,49296.75
2020-10-17 00:00:00,41.08,46189.75
2020-10-17 01:00:00,37.48,44028.00
2020-10-17 02:00:00,36.59,43215.25
2020-10-17 03:00:00,36.26,42961.75
2020-10-17 04:00:00,35.59,42551.75
2020-10-17 05:00:00,36.91,43230.50
2020-10-17 06:00:00,37.35,44865.50
2020-10-17 07:00:00,41.08,47580.50
2020-10-17 08:00:00,46.22,50989.75
2020-10-17 09:00:00,48.08,53869.50
2020-10-17 10:00:00,45.92,55441.50
2020-10-17 11:00:00,43.53,56569.00
2020-10-17 12:00:00,41.97,56046.50
2020-10-17 13:00:00,37.77,54384.50
2020-10-17 14:00:00,36.03,53030.75
2020-10-17 15:00:00,36.10,52017.50
2020-10-17 16:00:00,37.68,51988.50
2020-10-17 17:00:00,43.50,53537.50
2020-10-17 18:00:00,48.25,56097.50
2020-10-17 19:00:00,50.46,56307.00
2020-10-17 20:00:00,48.12,52722.75
2020-10-17 21:00:00,40.08,49952.75
2020-10-17 22:00:00,40.62,48067.50
2020-10-17 23:00:00,31.50,45408.75
2020-10-18 00:00:00,31.40,43291.75
2020-10-18 01:00:00,31.20,41989.00
2020-10-18 02:00:00,24.99,41365.50
2020-10-18 03:00:00,24.34,41469.75
