time_berlin,price (MWh),demand (MW)
2023-02-13 00:00:00,137.50,45029.00
2023-02-13 01:00:00,132.68,43572.50
2023-02-13 02:00:00,132.64,43067.25
2023-02-13 03:00:00,129.04,43688.00
2023-02-13 04:00:00,130.84,45328.75
2023-02-13 05:00:00,137.36,48865.75
2023-02-13 06:00:00,163.19,56894.25
2023-02-13 07:00:00,196.08,62655.75
2023-02-13 08:00:00,215.87,65414.00
2023-02-13 09:00:00,196.20,65714.75
2023-02-13 10:00:00,173.35,65987.50
2023-02-13 11:00:00,154.42,66529.25
2023-02-13 12:00:00,140.00,65788.50
2023-02-13 13:00:00,136.87,64539.50
2023-02-13 14:00:00,140.00,63373.50
2023-02-13 15:00:00,157.45,62437.25
2023-02-13 16:00:00,166.06,61555.00
2023-02-13 17:00:00,188.06,63523.00
2023-02-13 18:00:00,221.80,65995.25
2023-02-13 19:00:00,206.60,64523.00
2023-02-13 20:00:00,187.86,60621.75
2023-02-13 21:00:00,168.95,57108.50
2023-02-13 22:00:00,160.97,54306.00
2023-02-13 23:00:00,150.12,50945.25
2023-02-14 00:00:00,135.62,47763.75
2023-02-14 01:00:00,132.32,46387.25
2023-02-14 02:00:00,132.16,45763.00
2023-02-14 03:00:00,132.12,46403.75
2023-02-14 04:00:00,132.32,47759.50
2023-02-14 05:00:00,141.93,50466.00
2023-02-14 06:00:00,166.22,57498.25
2023-02-14 07:00:00,199.99,62761.25
2023-02-14 08:00:00,206.98,64957.50
2023-02-14 09:00:00,180.60,65017.00
2023-02-14 10:00:00,138.26,65459.50
2023-02-14 11:00:00,139.16,65568.75
2023-02-14 12:00:00,130.36,64340.75
2023-02-14 13:00:00,125.41,63423.00
2023-02-14 14:00:00,126.93,62164.50
2023-02-14 15:00:00,132.32,60923.75
2023-02-14 16:00:00,152.70,60661.50
2023-02-14 17:00:00,180.81,62932.25
2023-02-14 18:00:00,199.99,65627.50
2023-02-14 19:00:00,192.97,64634.75
2023-02-14 20:00:00,175.81,61209.50
2023-02-14 21:00:00,160.09,57573.50
2023-02-14 22:00:00,151.03,54456.00
2023-02-14 23:00:00,141.73,51145.25
2023-02-15 00:00:00,134.81,48176.25
2023-02-15 01:00:00,130.95,46847.00
2023-02-15 02:00:00,130.00,46263.50
2023-02-15 03:00:00,130.01,46567.75
2023-02-15 04:00:00,126.66,47949.50
2023-02-15 05:00:00,136.53,51209.00
2023-02-15 06:00:00,161.20,58220.50
2023-02-15 07:00:00,185.00,63350.75
2023-02-15 08:00:00,188.76,65801.75
2023-02-15 09:00:00,171.22,66001.75
2023-02-15 10:00:00,152.52,66172.50
2023-02-15 11:00:00,132.16,66128.50
2023-02-15 12:00:00,120.79,65221.75
2023-02-15 13:00:00,121.45,63928.00
2023-02-15 14:00:00,121.38,62393.75
2023-02-15 15:00:00,128.71,61420.75
2023-02-15 16:00:00,144.99,61142.00
2023-02-15 17:00:00,158.80,63342.25
2023-02-15 18:00:00,173.52,65770.75
2023-02-15 19:00:00,165.25,64844.50
2023-02-15 20:00:00,143.59,61578.75
2023-02-15 21:00:00,133.97,58446.75
2023-02-15 22:00:00,133.14,55874.25
2023-02-15 23:00:00,119.10,52693.00
2023-02-16 00:00:00,112.86,49707.75
2023-02-16 01:00:00,117.48,48012.25
2023-02-16 02:00:00,114.52,47463.25
2023-02-16 03:00:00,113.35,47555.75
2023-02-16 04:00:00,115.00,48928.75
2023-02-16 05:00:00,119.96,52299.00
2023-02-16 06:00:00,145.60,58934.50
2023-02-16 07:00:00,166.50,64175.25
2023-02-16 08:00:00,175.34,66014.00
2023-02-16 09:00:00,166.44,66364.50
2023-02-16 10:00:00,150.28,66363.50
2023-02-16 11:00:00,132.94,66038.75
2023-02-16 12:00:00,118.18,65562.25
2023-02-16 13:00:00,118.63,65052.75
2023-02-16 14:00:00,127.93,63492.00
2023-02-16 15:00:00,134.95,62459.00
2023-02-16 16:00:00,140.96,62529.25
2023-02-16 17:00:00,166.00,64518.00
2023-02-16 18:00:00,166.92,66546.50
2023-02-16 19:00:00,160.59,65523.50
2023-02-16 20:00:00,143.57,62348.00
2023-02-16 21:00:00,137.96,58803.25
2023-02-16 22:00:00,127.52,55900.00
2023-02-16 23:00:00,108.07,52053.75
2023-02-17 00:00:00,106.05,48675.50
2023-02-17 01:00:00,98.61,46651.50
2023-02-17 02:00:00,92.71,45739.75
2023-02-17 03:00:00,86.12,46023.00
2023-02-17 04:00:00,80.63,47764.25
2023-02-17 05:00:00,90.90,50986.75
2023-02-17 06:00:00,105.12,57448.50
2023-02-17 07:00:00,122.65,62740.25
2023-02-17 08:00:00,129.90,66105.75
2023-02-17 09:00:00,114.52,66828.75
2023-02-17 10:00:00,101.56,67967.00
2023-02-17 11:00:00,91.96,69081.75
2023-02-17 12:00:00,90.80,68215.00
2023-02-17 13:00:00,67.63,67312.25
2023-02-17 14:00:00,36.68,65500.75
2023-02-17 15:00:00,33.71,64505.75
2023-02-17 16:00:00,69.63,64099.00
2023-02-17 17:00:00,79.92,65425.00
2023-02-17 18:00:00,90.53,67093.50
2023-02-17 19:00:00,85.05,64553.25
2023-02-17 20:00:00,59.96,60552.50
2023-02-17 21:00:00,46.90,57160.00
2023-02-17 22:00:00,43.82,54120.50
2023-02-17 23:00:00,22.22,50682.25
2023-02-18 00:00:00,28.14,47890.25
2023-02-18 01:00:00,36.44,46165.00
2023-02-18 02:00:00,35.82,44856.50
2023-02-18 03:00:00,44.41,43848.75
2023-02-18 04:00:00,62.98,43761.00
2023-02-18 05:00:00,70.10,44402.50
2023-02-18 06:00:00,82.26,45634.50
2023-02-18 07:00:00,93.37,48246.75
2023-02-18 08:00:00,109.95,51930.00
2023-02-18 09:00:00,114.92,55377.00
2023-02-18 10:00:00,107.64,56806.75
2023-02-18 11:00:00,102.80,57947.00
2023-02-18 12:00:00,94.47,57419.75
2023-02-18 13:00:00,83.29,55794.50
2023-02-18 14:00:00,86.37,54011.50
2023-02-18 15:00:00,96.60,53352.25
2023-02-18 16:00:00,109.98,53545.75
2023-02-18 17:00:00,128.80,56230.00
2023-02-18 18:00:00,147.08,58478.25
2023-02-18 19:00:00,149.95,56524.25
2023-02-18 20:00:00,135.49,52842.50
2023-02-18 21:00:00,120.64,49991.25
2023-02-18 22:00:00,116.99,48277.75
2023-02-18 23:00:00,113.66,44973.00
2023-02-19 00:00:00,109.04,42070.00
2023-02-19 01:00:00,104.12,39756.75
2023-02-19 02:00:00,99.53,39132.00
2023-02-19 03:00:00,93.00,39353.00
2023-02-19 04:00:00,92.55,39627.00
2023-02-19 05:00:00,97.78,39874.00
2023-02-19 06:00:00,98.50,40536.75
