time_berlin,price (MWh),demand (MW)
2025-04-07 00:00:00,86.71,42904.75
2025-04-07 01:00:00,85.00,41779.25
2025-04-07 02:00:00,81.73,41612.50
2025-04-07 03:00:00,83.53,42380.25
2025-04-07 04:00:00,85.45,43756.25
2025-04-07 05:00:00,98.74,48441.00
2025-04-07 06:00:00,131.10,56367.75
2025-04-07 07:00:00,175.97,60409.50
2025-04-07 08:00:00,144.61,62912.25
2025-04-07 09:00:00,107.10,62935.00
2025-04-07 10:00:00,83.37,61784.00
2025-04-07 11:00:00,65.00,61277.75
2025-04-07 12:00:00,11.80,59148.25
2025-04-07 13:00:00,2.19,57162.75
2025-04-07 14:00:00,3.94,55439.00
2025-04-07 15:00:00,60.98,54836.50
2025-04-07 16:00:00,72.00,54379.50
2025-04-07 17:00:00,102.43,55387.75
2025-04-07 18:00:00,127.60,57839.50
2025-04-07 19:00:00,168.45,58878.50
2025-04-07 20:00:00,165.05,58198.75
2025-04-07 21:00:00,138.20,55448.00
2025-04-07 22:00:00,121.02,51950.50
2025-04-07 23:00:00,105.21,48431.75
2025-04-08 00:00:00,94.93,45581.00
2025-04-08 01:00:00,87.83,43957.00
2025-04-08 02:00:00,89.06,43269.00
2025-04-08 03:00:00,89.90,43766.00
2025-04-08 04:00:00,91.62,45532.25
2025-04-08 05:00:00,105.73,49202.75
2025-04-08 06:00:00,142.97,56541.25
2025-04-08 07:00:00,180.55,60711.00
2025-04-08 08:00:00,136.77,62981.50
2025-04-08 09:00:00,91.30,63138.25
2025-04-08 10:00:00,76.47,62000.75
2025-04-08 11:00:00,61.09,60212.50
2025-04-08 12:00:00,19.57,58269.50
2025-04-08 13:00:00,16.83,56605.50
2025-04-08 14:00:00,28.59,55376.25
2025-04-08 15:00:00,57.47,54932.75
2025-04-08 16:00:00,73.33,54193.50
2025-04-08 17:00:00,90.34,55538.25
2025-04-08 18:00:00,118.26,57397.00
2025-04-08 19:00:00,180.40,58502.50
2025-04-08 20:00:00,171.31,58128.75
2025-04-08 21:00:00,140.00,55265.25
2025-04-08 22:00:00,120.47,51699.00
2025-04-08 23:00:00,105.12,48271.50
2025-04-09 00:00:00,104.99,44927.75
2025-04-09 01:00:00,95.99,43559.00
2025-04-09 02:00:00,94.67,43055.75
2025-04-09 03:00:00,94.45,43527.75
2025-04-09 04:00:00,95.79,45198.00
2025-04-09 05:00:00,109.45,48882.50
2025-04-09 06:00:00,152.68,55876.25
2025-04-09 07:00:00,175.56,60033.00
2025-04-09 08:00:00,131.56,62331.50
2025-04-09 09:00:00,99.51,62841.50
2025-04-09 10:00:00,82.71,62598.25
2025-04-09 11:00:00,59.69,61271.75
2025-04-09 12:00:00,13.61,59134.75
2025-04-09 13:00:00,6.72,58475.25
2025-04-09 14:00:00,13.27,57144.25
2025-04-09 15:00:00,34.87,56696.00
2025-04-09 16:00:00,62.98,56753.00
2025-04-09 17:00:00,83.50,57988.75
2025-04-09 18:00:00,103.48,60530.50
2025-04-09 19:00:00,131.57,61372.75
2025-04-09 20:00:00,138.73,60974.50
2025-04-09 21:00:00,111.23,58721.50
2025-04-09 22:00:00,101.94,54685.00
2025-04-09 23:00:00,98.51,50397.25
2025-04-10 00:00:00,92.90,47484.00
2025-04-10 01:00:00,89.55,45138.50
2025-04-10 02:00:00,88.90,43997.50
2025-04-10 03:00:00,87.92,43899.00
2025-04-10 04:00:00,90.00,44643.50
2025-04-10 05:00:00,97.54,48148.50
2025-04-10 06:00:00,132.44,55289.75
2025-04-10 07:00:00,170.59,60025.75
2025-04-10 08:00:00,135.44,62757.50
2025-04-10 09:00:00,102.40,62730.00
2025-04-10 10:00:00,85.71,62840.75
2025-04-10 11:00:00,66.34,63837.75
2025-04-10 12:00:00,34.95,61890.50
2025-04-10 13:00:00,2.18,59857.75
2025-04-10 14:00:00,0.08,58330.50
2025-04-10 15:00:00,1.18,56928.25
2025-04-10 16:00:00,54.44,56955.00
2025-04-10 17:00:00,70.00,58407.50
2025-04-10 18:00:00,101.68,60675.00
2025-04-10 19:00:00,140.42,62319.75
2025-04-10 20:00:00,137.17,61789.75
2025-04-10 21:00:00,97.56,59441.25
2025-04-10 22:00:00,92.05,55373.00
2025-04-10 23:00:00,81.11,51223.75
2025-04-11 00:00:00,65.32,49121.00
2025-04-11 01:00:00,60.75,47348.25
2025-04-11 02:00:00,58.44,46687.25
2025-04-11 03:00:00,58.43,46865.75
2025-04-11 04:00:00,61.93,47920.25
2025-04-11 05:00:00,71.99,50666.00
2025-04-11 06:00:00,94.20,57151.75
2025-04-11 07:00:00,111.40,61495.75
2025-04-11 08:00:00,85.90,63705.25
2025-04-11 09:00:00,58.89,63485.75
2025-04-11 10:00:00,11.31,63025.50
2025-04-11 11:00:00,0.00,62107.50
2025-04-11 12:00:00,-3.00,59328.25
2025-04-11 13:00:00,-4.99,57454.50
2025-04-11 14:00:00,-3.61,55054.50
2025-04-11 15:00:00,-0.10,54579.75
2025-04-11 16:00:00,0.00,54222.25
2025-04-11 17:00:00,70.15,55501.00
2025-04-11 18:00:00,110.69,56763.75
2025-04-11 19:00:00,133.40,57096.00
2025-04-11 20:00:00,155.00,56342.00
2025-04-11 21:00:00,130.46,54078.50
2025-04-11 22:00:00,119.10,50757.50
2025-04-11 23:00:00,105.49,47132.50
2025-04-12 00:00:00,107.84,44099.75
2025-04-12 01:00:00,104.41,41749.50
2025-04-12 02:00:00,100.93,40552.75
2025-04-12 03:00:00,98.15,40363.75
2025-04-12 04:00:00,98.99,41238.75
2025-04-12 05:00:00,99.08,41693.00
2025-04-12 06:00:00,104.42,42879.00
2025-04-12 07:00:00,99.74,45562.25
2025-04-12 08:00:00,95.49,49022.25
2025-04-12 09:00:00,67.26,50663.00
2025-04-12 10:00:00,20.19,50574.50
2025-04-12 11:00:00,0.00,49409.75
2025-04-12 12:00:00,-9.23,47860.75
2025-04-12 13:00:00,-40.04,46111.00
2025-04-12 14:00:00,-42.01,44308.00
2025-04-12 15:00:00,-18.68,43387.75
2025-04-12 16:00:00,-0.08,43764.25
2025-04-12 17:00:00,59.47,44974.50
2025-04-12 18:00:00,111.31,47075.50
2025-04-12 19:00:00,150.06,47891.50
2025-04-12 20:00:00,120.89,47872.50
2025-04-12 21:00:00,91.00,46831.25
2025-04-12 22:00:00,86.27,44544.00
2025-04-12 23:00:00,64.27,42079.00
2025-04-13 00:00:00,63.99,39434.75
2025-04-13 01:00:00,56.00,38220.50
2025-04-13 02:00:00,42.36,37723.50
2025-04-13 03:00:00,29.50,37002.50
2025-04-13 04:00:00,32.06,37121.00
2025-04-13 05:00:00,34.48,37753.25
2025-04-13 06:00:00,29.41,38412.00
2025-04-13 07:00:00,27.75,40205.50
2025-04-13 08:00:00,12.87,43977.00
2025-04-13 09:00:00,8.43,47524.75
2025-04-13 10:00:00,0.00,50374.25
2025-04-13 11:00:00,-0.02,51685.50
2025-04-13 12:00:00,-3.02,51845.25
2025-04-13 13:00:00,-18.84,50066.75
2025-04-13 14:00:00,-25.38,47469.25
2025-04-13 15:00:00,-9.93,46688.50
2025-04-13 16:00:00,-0.01,46922.75
2025-04-13 17:00:00,17.56,47609.75
2025-04-13 18:00:00,98.63,47937.75
2025-04-13 19:00:00,120.65,48417.50
2025-04-13 20:00:00,118.01,48709.25
2025-04-13 21:00:00,108.06,47350.50
2025-04-13 22:00:00,103.35,46124.75
2025-04-13 23:00:00,94.98,43973.25
